,Partido,Localidad,ADSL,,DIALUP,FIBRAOPTICA,4G,,TELEFONIAFIJA,,SATELITAL
,Bahía Blanca,Villa Bordeau,,,--,--,,,--,,--
BUENOS AIRES,,Villa Espora,--,--,,--,--,--,,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
BUENOS AIRES,Balcarce,,--,--,--,,--,--,SI,SI,--
BUENOS AIRES,,Napaleofú,--,--,,SI,SI,SI,,,--
BUENOS AIRES,Balcarce,Ramos Otero,,--,--,--,,--,--,SI,
,Balcarce,San Agustín,,,--,--,,,SI,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,,--
BUENOS AIRES,Baradero,,SI,SI,--,,SI,SI,SI,SI,SI
BUENOS AIRES,,Irineo Portela,--,--,,SI,--,--,,,SI
BUENOS AIRES,Baradero,,--,--,--,,SI,--,,,--
,Baradero,Villa Alsina (Est. Alsina),SI,,--,--,SI,,SI,SI,
BUENOS AIRES,Benito Juárez,Barker,,,SI,SI,,SI,SI,SI,
CHUBUT,Futaleufú,Lago Rosario,,--,--,--,,--,SI,,SI
,General Las Heras,General Las Heras (Est. Las Heras),,,SI,SI,,,SI,,--
BUENOS AIRES,General Las Heras,,--,--,--,,--,--,--,--,
BUENOS AIRES,,,--,--,,,--,--,,--,SI
,General Las Heras,Plomer,,,--,--,--,,SI,--,--
BUENOS AIRES,General Las Heras,Villars,,SI,SI,SI,,--,SI,,--
,General Lavalle,Chacras de San Clemente,,,--,--,,,--,SI,--
,General Lavalle,General Lavalle,--,,--,SI,SI,,SI,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,,--
BUENOS AIRES,,Barrio Río Salado,--,--,,--,--,--,,,--
BUENOS AIRES,,Loma Verde,--,--,,--,SI,SI,,SI,
BUENOS AIRES,General Paz,,SI,--,SI,,SI,SI,SI,SI,
,General Paz,Villanueva (Ap. Río Salado),,,--,--,,,SI,,--
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),,--,--,--,,SI,SI,,--
MISIONES,San Ignacio,,--,--,--,,--,--,--,SI,--
BUENOS AIRES,,,--,SI,,,SI,--,,--,
,Magdalena,Los Naranjos,--,,--,SI,--,,--,--,--
,Magdalena,Magdalena,,,SI,--,,,SI,,--
BUENOS AIRES,,Roberto J. Payró,--,--,,--,--,--,,SI,--
BUENOS AIRES,,,--,--,,,--,--,,SI,
BUENOS AIRES,Maipú,,SI,--,--,,SI,SI,SI,,--
BUENOS AIRES,,,SI,--,,,SI,SI,,SI,--
BUENOS AIRES,Maipú,Santo Domingo,,--,--,--,,--,SI,SI,
,Malvinas Argentinas,Area De Promocion El Triángulo,SI,,--,SI,SI,,--,--,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,--,--
BUENOS AIRES,Malvinas Argentinas,,SI,SI,--,,SI,SI,SI,,--
BUENOS AIRES,,San Fernando,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,SI
,San Fernando,Virreyes,SI,,--,SI,SI,,SI,,--
,San Isidro,Acassuso,,,SI,SI,,,SI,--,SI
BUENOS AIRES,San Isidro,Beccar,,SI,--,SI,,SI,SI,SI,--
,San Isidro,Boulogne Sur Mer,SI,,--,SI,SI,,SI,SI,
CABA,COMUNA 04,,SI,SI,SI,,SI,SI,SI,SI,SI
CHACO,,,--,--,,,SI,SI,,,--
,San Fernando,Puerto Vilelas,,,--,SI,,,--,--,
CHACO,San Fernando,Resistencia,,SI,SI,SI,,SI,SI,SI,
CHACO,,,--,--,,,SI,--,,,SI
BUENOS AIRES,,Desvío Aguirre,--,--,,SI,SI,SI,,,--
,Tandil,Gardey,,,--,SI,,,SI,SI,
,Tandil,María Ignacia (Est. Vela),SI,,--,--,SI,,SI,SI,
,Tandil,Tandil,,,SI,SI,,,SI,,SI
BUENOS AIRES,Tapalqué,Crotto,,--,--,--,,--,--,,--
BUENOS AIRES,,Tapalqué,--,--,,--,SI,SI,,--,SI
BUENOS AIRES,Tapalqué,,--,--,--,,--,--,--,--,
BUENOS AIRES,Tigre,Benavídez,,SI,--,SI,,SI,SI,,SI
,Tigre,Dique Luján,,,--,SI,,,SI,SI,--
,COMUNA 10,FLORESTA,SI,,SI,SI,SI,,SI,SI,
,Futaleufú,Los Cipreses,,--,--,--,,--,SI,--,SI
CHUBUT,,Trevelín,SI,--,,--,SI,SI,,,SI
CHUBUT,Futaleufú,,--,--,--,,--,--,SI,,SI
CHUBUT,Gaiman,,--,--,--,,SI,SI,--,--,
CHUBUT,,,--,--,,,--,--,,--,
CHUBUT,Gaiman,Dolavon,,--,SI,SI,,--,SI,,SI
,San Isidro,Martínez,,,SI,SI,,,SI,,SI
BUENOS AIRES,,San Isidro,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,San Isidro,,SI,SI,--,,SI,SI,SI,--,--
BUENOS AIRES,San Miguel,Bella Vista,,SI,SI,SI,,SI,SI,,SI
,San Miguel,Campo De Mayo,--,,--,--,SI,,--,--,SI
BUENOS AIRES,,,SI,SI,SI,,SI,SI,SI,--,
CORDOBA,,Canteras Quilpo,--,--,,--,--,--,,SI,--
CORDOBA,,,--,--,,,--,--,,SI,--
BUENOS AIRES,Berisso,,SI,SI,SI,,SI,SI,SI,,--
,Berisso,Los Talas,,,--,--,,,--,--,--
BUENOS AIRES,Berisso,Villa Arguello,,--,--,SI,,SI,--,SI,
BUENOS AIRES,Berisso,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,,Villa Independencia,--,--,,,--,--,,--,--
BUENOS AIRES,Berisso,,--,--,--,,SI,SI,--,SI,--
BUENOS AIRES,,,--,--,,,--,--,,--,
BUENOS AIRES,Berisso,Villa Progreso,,--,--,SI,,--,--,SI,--
,Berisso,Villa San Carlos,,,--,--,,,--,,--
,Berisso,Villa Zula,--,,--,--,--,,--,--,
BUENOS AIRES,Bolívar,Hale,,--,--,--,,,SI,--,--
BUENOS AIRES,,Juan F. Ibarra,--,--,,--,--,--,,,--
BUENOS AIRES,Bolívar,,--,--,,,--,--,--,--,--
,Bolívar,Paula,,,--,--,,,--,--,
,Bolívar,Pirovano,--,,--,--,--,,SI,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
BUENOS AIRES,Bolívar,,--,--,SI,,SI,SI,SI,,--
,Bolívar,Villa Lynch Pueyrredón,,,--,--,,,--,--,--
BUENOS AIRES,Bragado,Asamblea,,--,--,--,,--,--,--,
,COMUNA 12,VILLA URQUIZA,,,SI,SI,,SI,SI,,SI
,Río Cuarto,Alpa Corral,--,,--,--,SI,,--,--,--
CORDOBA,Río Cuarto,,SI,SI,--,,SI,SI,,SI,
CORDOBA,,Bulnes,SI,--,,--,SI,SI,,--,
,Río Cuarto,Chaján,--,,--,SI,SI,,SI,--,SI
,Río Cuarto,Chucul,,,--,SI,,,SI,,--
CORDOBA,,Coronel Baigorria,--,--,,SI,SI,SI,,--,--
CHACO,,,--,--,,,SI,SI,,SI,
,Sargento Cabral,Capitán Solari,--,,--,SI,SI,,SI,SI,--
,Sargento Cabral,Colonia Elisa,,,--,--,,,SI,,SI
CHACO,Sargento Cabral,Colonias Unidas,,--,--,SI,,SI,SI,SI,
,Sargento Cabral,Ingeniero Barbet,--,,--,--,,,--,--,--
CHACO,Sargento Cabral,,--,--,--,,SI,SI,SI,,SI
CHACO,,Charadai,--,--,,SI,SI,SI,,--,SI
,Tapenagá,Cote Lai,,,--,--,,,SI,--,--
CHACO,Tapenagá,Haumonía,,--,--,--,,--,--,--,
CHACO,,,--,--,,,--,--,,--,--
CHACO,,La Sabana,--,--,,--,--,--,,,--
,Biedma,Arroyo Verde,,,--,--,,,--,--,
,Biedma,Puerto Madryn,SI,,SI,SI,SI,,SI,SI,
,Biedma,Puerto Pirámide,--,,--,--,SI,,SI,,SI
CHUBUT,Biedma,Quinta El Mirador,,--,--,--,,SI,--,,--
CORDOBA,,Cruz del Eje,SI,SI,,,SI,SI,,SI,
CORDOBA,Cruz del Eje,,--,--,--,,--,--,--,SI,--
CORDOBA,Cruz del Eje,El Rincón,,--,--,--,,--,--,--,--
,Cruz del Eje,Guanaco Muerto,,,--,--,,,--,,--
,Cruz del Eje,La Banda,--,,--,--,--,,--,--,SI
CORDOBA,Cruz del Eje,La Batea,,--,--,--,,,--,SI,
CORDOBA,,La Higuera,SI,--,,--,SI,--,,,--
CORDOBA,Cruz del Eje,,--,--,,,--,--,--,,--
CORDOBA,Cruz del Eje,,--,--,--,,--,--,--,SI,
CORDOBA,,,--,--,,,--,--,,SI,
CORDOBA,Cruz del Eje,Media Naranja,,--,--,--,,--,--,,--
,Cruz del Eje,Paso Viejo,,,--,--,,,SI,SI,--
CORDOBA,,,--,SI,,SI,SI,SI,,SI,--
CORDOBA,Cruz del Eje,,SI,--,--,,SI,SI,SI,SI,
,Cruz del Eje,Tuclame,,,--,--,,--,--,SI,--
,General Pueyrredón,Chapadmalal,SI,,--,SI,SI,,SI,,SI
BUENOS AIRES,General Pueyrredón,,--,--,--,,--,--,,SI,--
BUENOS AIRES,,Estacion Camet,--,--,,--,SI,SI,,--,
BUENOS AIRES,,,SI,--,,,SI,SI,,,SI
BUENOS AIRES,General Pueyrredón,,SI,SI,SI,,SI,SI,SI,SI,SI
,General Pueyrredón,Punta Mogotes,,,--,--,,,--,--,
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,,--,--,SI,,SI,SI,SI,--
BUENOS AIRES,General Rodríguez,,--,--,--,,SI,SI,--,--,--
BUENOS AIRES,,Country Club Bosque Real - Barrio Morabo,--,--,,--,SI,SI,,,--
CABA,COMUNA 05,,SI,SI,SI,,SI,SI,,SI,
CHUBUT,,Comodoro Rivadavia,SI,SI,,SI,SI,SI,,SI,SI
,Escalante,Diadema Argentina,,--,--,--,,SI,--,,--
,Escalante,Km. 11 - Cuarteles,--,,--,--,--,,--,--,--
,Escalante,KM. 3 - General Mosconi,,,--,--,,,--,--,--
CHUBUT,Escalante,KM. 5 - Presidente Ortiz,,--,--,--,,--,--,--,
CHUBUT,,,--,--,,,SI,SI,,--,--
CABA,COMUNA 05,,SI,SI,SI,,SI,SI,SI,,SI
CHUBUT,Escalante,Rada Tilly,,SI,SI,SI,,SI,SI,SI,
,Florentino Ameghino,Camarones,,,--,--,,,SI,SI,SI
CHUBUT,,Garayalde,--,--,,--,--,--,,,--
CHUBUT,,,--,--,,,--,--,SI,--,SI
,Futaleufú,Corcovado,--,,SI,--,--,,SI,--,
CHUBUT,Futaleufú,Esquel,,SI,SI,--,,SI,SI,SI,
BUENOS AIRES,Mar Chiquita,General Pirán,,--,SI,SI,,SI,SI,,--
,Mar Chiquita,La Armonía,,,--,--,,,--,,--
BUENOS AIRES,Mar Chiquita,,--,--,--,,SI,SI,--,--,--
BUENOS AIRES,,,--,--,,,--,--,,SI,
,Mar Chiquita,Mar Chiquita,--,,--,--,SI,,SI,,--
BUENOS AIRES,Mar Chiquita,Mar de Cobo,,--,SI,SI,,--,SI,--,--
,Mar Chiquita,Playa Dorada,,,--,--,,,--,SI,
,Mar Chiquita,Santa Clara del Mar,SI,,--,SI,SI,,--,SI,--
BUENOS AIRES,,,--,--,,,--,--,,,--
BUENOS AIRES,,Vivoratá,--,--,,SI,SI,SI,,,--
BUENOS AIRES,,,--,--,,--,SI,--,,--,
BUENOS AIRES,Marcos Paz,,SI,SI,SI,,SI,SI,SI,SI,
,Mercedes,Goldney,--,,--,--,--,,--,--,--
BUENOS AIRES,Benito Juárez,Benito Juárez (Est. Juárez),,--,SI,SI,,SI,SI,,SI
BUENOS AIRES,Benito Juárez,,--,--,--,,--,--,--,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,--,--
,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),--,,--,SI,SI,,--,,SI
,Berazategui,Berazategui,,,SI,SI,,,SI,SI,SI
BUENOS AIRES,,Berazategui Oeste,SI,SI,,SI,SI,SI,,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,,--,--
BUENOS AIRES,Berazategui,,SI,SI,--,,SI,SI,SI,SI,--
CORDOBA,,Sarmiento,SI,--,,--,--,--,,,--
CORDOBA,Totoral,Simbolar,,--,--,--,,--,SI,--,--
,Berazategui,Guillermo E. Hudson,,,SI,SI,SI,,SI,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
BUENOS AIRES,Berazategui,,SI,SI,SI,,SI,--,SI,--,--
BUENOS AIRES,,Plátanos,--,SI,,SI,SI,SI,,--,--
BUENOS AIRES,Berazategui,,SI,SI,SI,,SI,SI,SI,--,
,Berazategui,Villa España,,,--,SI,,,SI,--,--
BUENOS AIRES,Berisso,Barrio Banco Provincia,,--,--,--,,--,--,,--
,Berisso,Barrio El Carmen (Este),,,--,SI,,,--,SI,
,Berisso,Barrio Universitario,--,,--,--,SI,,--,--,--
ENTRE RIOS,,,--,--,,,SI,SI,,,SI
ENTRE RIOS,,Hambis,--,--,,--,--,--,,SI,--
,General Pinto,General Pinto,--,,SI,--,SI,,SI,--,
,General Pinto,Germania (Est. Mayor José Orellano),,,--,--,,SI,--,--,
BUENOS AIRES,General Pinto,,--,--,--,,--,SI,--,,--
BUENOS AIRES,,,--,--,,,SI,--,,,SI
BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),,--,--,--,,--,--,--,--
,General Pueyrredón,Barrio Colinas Verdes,--,,--,--,SI,,--,SI,
,General Pueyrredón,Barrio El Boquerón,--,,--,--,SI,,--,,--
,General Pueyrredón,Barrio El Casal,,,--,--,,,--,,--
BUENOS AIRES,,Barrio El Coyunco,--,--,,SI,SI,SI,,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,SI,
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,,--,--,SI,,,--,SI,SI
,General Pueyrredón,Batán,SI,,--,SI,SI,,SI,,SI
,General Pueyrredón,Camet,SI,,--,SI,SI,,SI,SI,
,Colón,Hocker,,,--,--,,,--,SI,
BUENOS AIRES,,Ingeniero Pablo Nogués,SI,SI,,SI,SI,SI,,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,SI
BUENOS AIRES,Malvinas Argentinas,,--,SI,--,,--,--,--,SI,
