,Partido,Localidad,,,CABLEMODEM,DIALUP,,,WIRELESS,TELEFONIAFIJA,,,link,Latitud,
,Bahía Blanca,Villa Bordeau,0,,--,--,--,,--,--,,SI,6056020,"-38,6472605094596",
BUENOS AIRES,,,0,--,,,--,--,,,--,--,,"-38,7765069529222","-62,1851833537179"
BUENOS AIRES,,Balcarce,38376,SI,,SI,SI,--,,,SI,SI,6063010,,"-58,2551665841248"
BUENOS AIRES,,,337,--,,,--,--,,SI,,--,6063020,"-37,9412057603",
BUENOS AIRES,Balcarce,,374,--,--,,SI,--,SI,SI,SI,,6063030,"-37,6254980210026","-58,7461862359423"
,Balcarce,Ramos Otero,95,,--,--,--,,SI,,--,SI,6063040,,"-58,3407185507274"
BUENOS AIRES,Balcarce,San Agustín,,--,--,--,,--,SI,,--,--,,,"-58,355377761682"
BUENOS AIRES,Balcarce,,115,--,--,,--,--,SI,SI,SI,,6063060,"-37,8596285282151","-57,9806008736401"
BUENOS AIRES,,,28537,SI,,,SI,SI,,SI,,SI,6070010,"-33,8128781547156",
,Baradero,Irineo Portela,,,--,--,,SI,SI,,--,--,,,"-59,6715601606315"
,Baradero,Santa Coloma,203,,--,--,--,,SI,--,--,SI,,"-34,062154134736","-59,5585420642846"
BUENOS AIRES,Baradero,,1488,SI,--,,--,--,,SI,,SI,6070040,"-33,9096038045591",
BUENOS AIRES,,Barker,1241,--,,SI,SI,SI,,SI,SI,,6084010,"-37,6424111302365","-59,3889380312927"
CHUBUT,,,87,--,,,--,SI,,SI,--,--,,"-43,2500168518714","-71,3512318442886"
BUENOS AIRES,General Las Heras,,11331,SI,SI,,SI,--,SI,,SI,SI,,,"-58,9453407851291"
,General Las Heras,La Choza,,,--,--,,,--,--,--,,6329030,"-34,7829908276155","-59,1095647693247"
BUENOS AIRES,General Las Heras,Lozano,,--,--,--,,SI,--,--,,,6329020,"-34,8542796259808",
BUENOS AIRES,General Las Heras,,198,--,--,,--,--,--,,--,--,6329050,,"-59,0279756935744"
BUENOS AIRES,,Villars,1147,--,,SI,SI,--,,SI,--,--,,,"-58,9422589402025"
BUENOS AIRES,,Chacras de San Clemente,0,--,,--,--,--,,--,,,6336020,"-36,4080851872455",
BUENOS AIRES,,,1827,--,,,SI,SI,,SI,SI,,6336020,"-36,4080851872455","-56,9433553335054"
,General Lavalle,Pavón,942,,--,--,SI,,SI,,SI,SI,,,"-56,7598433617574"
,General Paz,Barrio Río Salado,,,--,--,,,--,--,--,--,,"-35,6936377582584","-58,447313612508"
BUENOS AIRES,General Paz,Loma Verde,,--,--,--,,--,SI,SI,SI,,6343020,"-35,2747490125694","-58,4041701894263"
,General Paz,Ranchos,7916,,--,SI,,,SI,SI,,SI,6343030,"-35,5173520233652",
BUENOS AIRES,General Paz,,537,--,--,,--,--,SI,SI,--,--,,"-35,6776271050909","-58,4350923167562"
BUENOS AIRES,,Colonia San Ricardo (Est. Iriarte),811,SI,,--,--,--,,,SI,SI,,,"-61,9280141749282"
,San Ignacio,General Urquiza,,,--,--,,,SI,--,,--,54098040,"-27,0988816811273",
BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),,--,SI,--,,--,--,SI,--,,6505020,"-35,0816834306862","-57,7469762592144"
BUENOS AIRES,,,115,--,,,SI,--,,,--,--,6505030,,"-57,7036642458572"
BUENOS AIRES,,Magdalena,11093,SI,,SI,--,--,,SI,SI,SI,,"-35,0806853032506","-57,5172585839912"
,Magdalena,Roberto J. Payró,,,--,--,,,SI,--,,--,6505050,"-35,1799267057869",
,Magdalena,Vieytes,287,,--,--,SI,,SI,SI,,,6505060,"-35,269568396303",
,Maipú,Las Armas,365,,--,--,--,,SI,,SI,SI,,,"-57,8285752273883"
BUENOS AIRES,Maipú,Maipú,,SI,--,SI,,--,SI,,SI,SI,6511020,,"-57,8829166198472"
BUENOS AIRES,,Santo Domingo,95,--,,,--,SI,,SI,,,6511030,"-36,7137597811284",
BUENOS AIRES,Malvinas Argentinas,,2877,SI,--,,SI,--,--,--,,SI,6515010,"-34,4544550576034",
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,,SI,SI,--,,--,--,,SI,SI,,,"-58,7286750953502"
,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,,,SI,--,,,SI,SI,SI,SI,,"-34,5004325972609","-58,6618050648717"
,San Fernando,San Fernando,,,SI,SI,,,SI,SI,SI,,6749010,"-34,4473601745411",
,San Fernando,Victoria,42703,,SI,--,SI,,SI,SI,,SI,6749010,"-34,4619820050413",
BUENOS AIRES,,,42768,SI,,,SI,--,,,SI,SI,,,"-58,5761941633194"
BUENOS AIRES,,Acassuso,12902,SI,,SI,SI,SI,,,SI,SI,6756010,,"-58,5074043996961"
BUENOS AIRES,,,59088,SI,,--,SI,--,,SI,,SI,6756010,"-34,4674159462571",
BUENOS AIRES,San Isidro,,73842,SI,SI,,SI,--,SI,SI,,,6756010,"-34,4983312888498",
,COMUNA 04,NUEVA POMPEYA,42695,,SI,SI,SI,,SI,,SI,SI,2000010,,"-58,4188550090093"
CHACO,San Fernando,Fontana,,--,--,--,,--,SI,--,SI,SI,,"-27,4167127425858","-59,04393778912"
CHACO,San Fernando,,8278,--,--,,SI,SI,--,--,SI,,22140050,"-27,5106090846354","-58,938994465923"
CHACO,,,290723,SI,,,SI,SI,,SI,,,22140060,"-27,4521194584549",
,San Lorenzo,Samuhú,1251,,--,--,--,,--,--,--,SI,,"-27,5222254234698","-60,3941746057505"
,Tandil,Desvío Aguirre,,,--,--,,,SI,,SI,SI,,,"-59,"
BUENOS AIRES,,Gardey,532,--,,--,SI,--,,SI,SI,,6791030,"-37,2823323375205","-59,3630004748452"
BUENOS AIRES,,,1948,SI,,,--,--,,SI,,SI,6791040,"-37,4029073074266",
BUENOS AIRES,Tandil,,116916,SI,SI,,SI,SI,SI,,SI,SI,,,"-59,1310691770429"
BUENOS AIRES,,Crotto,247,--,,--,--,--,,--,--,--,,"-36,5774103919485","-60,1711185359919"
BUENOS AIRES,Tapalqué,Tapalqué,,--,--,--,,SI,--,SI,,,6798020,"-36,3573669882462",
,Tapalqué,Velloso,,,--,--,--,,--,--,--,,6798030,"-36,1215309084723","-59,6527146246682"
BUENOS AIRES,,,42781,SI,,,SI,SI,,,SI,SI,,,"-58,6887919689512"
BUENOS AIRES,Tigre,,3351,SI,SI,,SI,--,SI,,SI,SI,6805010,,"-58,6917925096496"
CABA,COMUNA 10,,37575,SI,SI,,SI,SI,,SI,SI,,2000010,"-34,6276862905939","-58,4835872783595"
CHUBUT,,Los Cipreses,179,--,,--,--,SI,,SI,,,26035050,"-43,1847146210617",
,Futaleufú,Trevelín,,,--,SI,,SI,SI,SI,SI,SI,,"-43,0908711905976","-71,4654853699539"
,Futaleufú,Villa Futalaufquen,28,,--,--,--,,--,,--,--,,,"-71,6061535113717"
,Gaiman,28 de Julio,,,--,--,,,--,--,,SI,26042040,"-43,3809771295585",
CHUBUT,Gaiman,Dique Florentino Ameghino,,--,--,--,,--,--,SI,--,,26042010,"-43,7032847513538","-66,479400323535"
CHUBUT,,,2887,--,,,SI,SI,,,--,SI,,,"-65,7087388385691"
BUENOS AIRES,San Isidro,,66169,SI,SI,,SI,SI,SI,SI,SI,SI,,"-34,4944230772436","-58,5105732755943"
BUENOS AIRES,San Isidro,San Isidro,,SI,SI,SI,,SI,SI,SI,SI,,6756010,"-34,4770412162141","-58,52719519996"
,San Isidro,Villa Adelina,,,SI,--,,,--,SI,,SI,6756010,"-34,5151197673508",
BUENOS AIRES,,Bella Vista,74138,SI,,SI,SI,SI,,SI,SI,SI,,"-34,5751401519414","-58,6960409885544"
BUENOS AIRES,,,1525,--,,,--,SI,--,,SI,SI,6760010,,"-58,6513860167431"
,San Miguel,Muñiz,28615,,SI,SI,SI,,--,SI,,,6760010,"-34,5557351629874",
CORDOBA,Cruz del Eje,Canteras Quilpo,,--,--,--,,,SI,SI,,--,14028030,"-30,8666932853441",
CORDOBA,Cruz del Eje,Cruz de Caña,,--,--,--,,--,SI,,--,--,14028040,,"-64,9425321672363"
,Berisso,Berisso,,,SI,SI,,,SI,,SI,SI,,,"-57,8947472316799"
BUENOS AIRES,Berisso,,0,--,--,,--,--,--,--,,--,6098010,"-34,9190209219847",
BUENOS AIRES,,,0,--,,,SI,--,,--,SI,,6098010,"-34,9053981881099",
,Berisso,Villa Dolores,0,,--,--,--,,--,--,SI,SI,,"-34,8802085383888","-57,8663036732616"
BUENOS AIRES,Berisso,Villa Independencia,,--,--,--,,--,--,,--,--,,,"-57,8614892695719"
,Berisso,Villa Nueva,,,--,--,,,SI,--,,SI,6098010,"-34,8957079362353",
BUENOS AIRES,Berisso,Villa Porteña,,--,--,--,,--,--,--,,,6098010,"-34,891043310448",
BUENOS AIRES,,,0,--,,,SI,--,,,--,--,6098010,,"-57,8468799885622"
BUENOS AIRES,Berisso,,0,--,--,,--,--,--,,SI,SI,,,"-57,87701595642"
BUENOS AIRES,Berisso,,0,--,,,--,--,--,--,--,,6098010,"-34,9221646298322","-57,8009664840662"
BUENOS AIRES,,Hale,211,SI,,--,--,--,,SI,,--,6105010,"-36,0010429767568",
BUENOS AIRES,Bolívar,Juan F. Ibarra,,--,--,--,,,--,,--,--,,,"-61,2552591224518"
,Bolívar,Mariano Unzué,0,,--,--,--,,--,,--,--,6105060,,"-61,0116010100704"
BUENOS AIRES,,Paula,40,--,,--,--,SI,,--,,--,6105040,"-36,5053183545527",
BUENOS AIRES,,,1551,--,,,--,--,,SI,SI,,6105050,"-36,5109170215402","-61,5545516558692"
BUENOS AIRES,Bolívar,San Carlos de Bolívar (Est. Bolívar),,SI,SI,SI,,--,SI,,SI,SI,6105060,,"-61,1131898679983"
,Bolívar,Urdampilleta,,,--,SI,,,SI,SI,SI,SI,,"-36,4329292363695","-61,4191160192421"
BUENOS AIRES,Bolívar,,62,--,--,,--,--,--,--,,,6105080,"-36,6025793254646",
BUENOS AIRES,,,7,--,,,--,--,,--,--,,6112005,"-35,2267581272748","-60,4168952837295"
CABA,,VILLA URQUIZA,91563,SI,,SI,SI,SI,,SI,SI,SI,,"-34,5715411303449","-58,4878560596649"
CORDOBA,Río Cuarto,,812,--,--,,--,--,,,SI,SI,,,"-64,721171054893"
,Río Cuarto,Berrotarán,6869,,SI,--,SI,,SI,SI,SI,,14098050,"-32,4528669215341","-64,3854404675021"
CORDOBA,Río Cuarto,Bulnes,,,--,--,,SI,--,--,,SI,14098060,"-33,5032818212674",
CORDOBA,,,767,--,,,SI,SI,,,SI,SI,14098070,,"-65,0052699166312"
CORDOBA,,Chucul,304,SI,,--,SI,--,,,SI,SI,,,"-64,1712493406755"
CORDOBA,Río Cuarto,,1456,--,--,,SI,--,--,--,SI,SI,,"-32,8495478948519","-64,3598591374051"
CHACO,,,10224,--,,,SI,SI,,,SI,SI,22147020,,"-60,4155962080604"
CHACO,Sargento Cabral,Capitán Solari,,--,--,--,,--,SI,SI,SI,,22154010,"-26,8050732181615","-59,5596523744138"
,Sargento Cabral,Colonia Elisa,3471,,--,--,--,,--,SI,,,22154020,"-26,9324550960675",
,Sargento Cabral,Colonias Unidas,3282,,--,--,SI,,SI,,SI,SI,,,"-59,6277421824927"
,Sargento Cabral,Ingeniero Barbet,,,--,--,,,--,--,--,--,,"-27,0032121063146","-59,4825136520473"
CHACO,,Las Garcitas,3711,--,,--,--,SI,,SI,,SI,22154050,"-26,6193460346699",
CHACO,,,1519,--,,,SI,SI,,SI,SI,,22161010,"-27,6553304709616","-59,8624460245382"
CHACO,Tapenagá,Cote Lai,,--,--,--,,,--,,--,SI,,,"-59,5765171513905"
,Tapenagá,Haumonía,77,,--,--,--,,--,,--,--,22161030,,"-60,1635277537413"
CHACO,,Horquilla,122,--,,--,--,--,,--,,,22161040,"-27,5427589336639",
CHACO,Tapenagá,,242,--,--,,--,--,--,--,,--,22161050,"-27,8738009106984",
,Biedma,Arroyo Verde,,,--,--,--,,--,--,--,--,,"-42,0119886969656","-65,3064500926092"
CHUBUT,Biedma,Puerto Madryn,,SI,SI,SI,,SI,SI,,SI,SI,26007020,,"-65,0422298178163"
,Biedma,Puerto Pirámide,,,--,--,,,SI,SI,,SI,26007030,"-42,5736171931039",
,Biedma,Quinta El Mirador,626,,--,--,--,,SI,--,,,26007040,"-42,811590013144","-65,051417803805"
CORDOBA,,,30680,SI,,,SI,--,,,SI,SI,14028050,,"-64,8077377312137"
CORDOBA,,El Brete,1749,--,,--,SI,--,,,--,--,,,"-64,8699070292303"
,Cruz del Eje,El Rincón,129,,--,--,--,,--,--,--,,14028070,"-30,7491607666016","-64,6445159912109"
CORDOBA,Cruz del Eje,Guanaco Muerto,,,--,--,,--,SI,--,,--,14028080,"-30,4794131800612",
CORDOBA,Cruz del Eje,La Banda,,--,--,--,,SI,--,,--,--,,,"-64,6459839334075"
,Cruz del Eje,La Batea,,,--,--,,,SI,,--,--,14028100,,"-65,4238386532105"
CORDOBA,Cruz del Eje,,404,SI,--,,--,--,SI,SI,,,14028110,"-31,0139548417914","-65,1020313666951"
CORDOBA,,,149,--,,,--,--,,--,,--,14028120,"-30,9332479488458",
CORDOBA,,Las Playas,937,--,,--,SI,--,,,--,--,14028130,,"-64,8508831281017"
CORDOBA,Cruz del Eje,,311,--,--,,SI,--,SI,--,--,--,,"-30,5724823864554","-64,9410778222467"
,Cruz del Eje,Media Naranja,800,,--,--,--,,SI,--,,--,14028150,"-30,6233104657952",
,Cruz del Eje,Paso Viejo,,SI,--,--,,--,SI,SI,,,14028160,"-30,7686835768001",
CORDOBA,,,943,--,,,SI,--,,SI,SI,SI,,"-30,7803420622583","-64,6468515131076"
CORDOBA,,Serrezuela,2441,SI,,--,SI,--,,,SI,SI,14028180,,"-65,3813009621884"
,Cruz del Eje,Tuclame,,,--,--,,,SI,--,--,,14028190,"-30,7485284753417","-65,2375410689391"
